True Emotion,Predicted Emotion,Time Taken (s),,,,
4,4,0.012227774,1,,0.408057439,0.011782098
5,8,0.011703968,0,,,
2,8,0.011620522,0,,,
6,4,0.011589527,0,,,
5,7,0.011621475,0,,,
4,4,0.011652946,1,,,
8,4,0.011859417,0,,,
2,6,0.011711121,0,,,
2,2,0.01165843,1,,,
2,2,0.01163578,1,,,
2,2,0.011640549,1,,,
7,7,0.011636019,1,,,
6,6,0.011631727,1,,,
4,4,0.011640787,1,,,
8,4,0.011656523,0,,,
6,6,0.011644125,1,,,
5,2,0.01159215,0,,,
8,4,0.011631012,0,,,
6,5,0.011668205,0,,,
6,8,0.011632681,0,,,
4,8,0.01168108,0,,,
8,7,0.011698484,0,,,
4,4,0.011679411,1,,,
5,9,0.01169467,0,,,
8,8,0.011719465,1,,,
5,6,0.011650324,0,,,
4,4,0.011723042,1,,,
8,8,0.011710644,1,,,
8,4,0.011641502,0,,,
6,6,0.011632204,1,,,
4,4,0.011630297,1,,,
8,4,0.011607647,0,,,
2,8,0.01164031,0,,,
6,6,0.011618853,1,,,
6,4,0.011621475,0,,,
2,4,0.011689901,0,,,
8,6,0.011634588,0,,,
4,8,0.011595488,0,,,
0,4,0.011612177,0,,,
8,8,0.011574268,1,,,
4,4,0.011661768,1,,,
4,4,0.011570215,1,,,
6,4,0.011609316,0,,,
4,4,0.011594296,1,,,
2,0,0.011633635,0,,,
4,4,0.011626244,1,,,
6,8,0.011615515,0,,,
4,4,0.011620998,1,,,
4,4,0.011640549,1,,,
0,4,0.011616707,0,,,
2,5,0.011678457,0,,,
6,5,0.01167655,0,,,
0,4,0.011679173,0,,,
8,4,0.011710644,0,,,
4,4,0.011640787,1,,,
0,4,0.011603117,0,,,
8,4,0.011615515,0,,,
2,4,0.01165843,0,,,
5,4,0.011710405,0,,,
2,4,0.011709452,0,,,
6,8,0.011716843,0,,,
6,6,0.011716843,1,,,
6,4,0.011621714,0,,,
2,4,0.011662006,0,,,
6,4,0.011713266,0,,,
4,4,0.011687279,1,,,
8,4,0.011674404,0,,,
8,4,0.01171422,0,,,
4,4,0.011696577,1,,,
0,4,0.011753798,0,,,
2,4,0.011800051,0,,,
6,7,0.011765003,0,,,
6,4,0.011703253,0,,,
7,6,0.011731625,0,,,
5,8,0.011816502,0,,,
4,4,0.01179266,1,,,
2,4,0.011824608,0,,,
2,6,0.011808157,0,,,
4,4,0.011811495,1,,,
6,6,0.011786461,1,,,
4,4,0.011790991,1,,,
2,4,0.011790514,0,,,
6,4,0.011767387,0,,,
6,6,0.011754036,1,,,
6,6,0.011761665,1,,,
5,5,0.01180172,1,,,
6,4,0.011766672,0,,,
8,8,0.011770248,1,,,
7,7,0.01179409,1,,,
4,4,0.011772633,1,,,
5,8,0.011814117,0,,,
6,6,0.011768579,1,,,
8,8,0.011894226,1,,,
4,4,0.011790752,1,,,
5,5,0.01176548,1,,,
4,4,0.011717319,1,,,
2,2,0.01177907,1,,,
4,4,0.011749506,1,,,
4,4,0.011708736,1,,,
4,2,0.011704206,0,,,
4,4,0.011706352,1,,,
6,4,0.011795521,0,,,
4,4,0.011706829,1,,,
6,6,0.01175189,1,,,
2,2,0.011704683,1,,,
6,6,0.011729479,1,,,
7,8,0.011726856,0,,,
6,4,0.011769295,0,,,
3,8,0.011659145,0,,,
4,4,0.011709929,1,,,
7,7,0.011713266,1,,,
6,6,0.011772394,1,,,
0,4,0.01168108,0,,,
6,6,0.011729717,1,,,
0,6,0.011688709,0,,,
5,4,0.011724234,0,,,
2,2,0.011717319,1,,,
8,8,0.011732578,1,,,
7,8,0.011740446,0,,,
4,4,0.011753798,1,,,
6,4,0.011738539,0,,,
2,2,0.011759281,1,,,
8,8,0.011726618,1,,,
2,6,0.011835098,0,,,
0,4,0.011748552,0,,,
0,4,0.011769295,0,,,
6,4,0.011834383,0,,,
6,6,0.011826277,1,,,
4,6,0.01183033,0,,,
2,2,0.011802435,1,,,
4,4,0.01176405,1,,,
8,4,0.011767387,0,,,
6,6,0.011753559,1,,,
6,8,0.011768818,0,,,
8,4,0.0117836,0,,,
6,4,0.011733532,0,,,
6,7,0.011771441,0,,,
0,4,0.011724472,0,,,
8,5,0.011733532,0,,,
8,8,0.011754513,1,,,
8,2,0.011747122,0,,,
4,4,0.011763096,1,,,
4,4,0.011748314,1,,,
6,8,0.01176405,0,,,
6,9,0.011744976,0,,,
8,6,0.011727095,0,,,
6,4,0.011706829,0,,,
8,4,0.011859417,0,,,
4,4,0.011856318,1,,,
8,8,0.011789322,1,,,
4,6,0.011821747,0,,,
6,6,0.011820793,1,,,
8,8,0.011785507,1,,,
8,8,0.011821508,1,,,
2,4,0.011750698,0,,,
2,4,0.011785269,0,,,
7,7,0.011801481,1,,,
2,2,0.011734724,1,,,
6,8,0.01181078,0,,,
0,0,0.011754274,1,,,
0,4,0.011724234,0,,,
7,3,0.011790514,0,,,
6,4,0.011749983,0,,,
6,6,0.011745691,1,,,
8,6,0.011773586,0,,,
8,8,0.011733294,1,,,
6,8,0.011728048,0,,,
5,8,0.011796236,0,,,
8,4,0.011773825,0,,,
