True Emotion,Predicted Emotion,Time Taken (s),,,,
4,4,0.01218152,1,,0.376545672,0.011755387
5,7,0.011610985,0,,,
2,6,0.011615038,0,,,
6,4,0.011578321,0,,,
5,6,0.011837721,0,,,
4,4,0.011595011,1,,,
8,4,0.011642694,0,,,
2,4,0.01160121,0,,,
2,2,0.011610985,1,,,
2,4,0.011645555,0,,,
2,4,0.011605024,0,,,
7,8,0.011594772,0,,,
6,6,0.011621475,1,,,
4,6,0.011578798,0,,,
8,4,0.011555195,0,,,
6,4,0.011621237,0,,,
5,2,0.011596203,0,,,
8,8,0.011679173,1,,,
6,8,0.011577606,0,,,
6,4,0.011585474,0,,,
4,4,0.011616945,1,,,
8,8,0.011641979,1,,,
4,4,0.011679888,1,,,
5,6,0.011581659,0,,,
8,8,0.011588573,1,,,
5,5,0.011601686,1,,,
4,4,0.011600018,1,,,
8,8,0.011573076,1,,,
8,8,0.011616945,1,,,
6,4,0.011632919,0,,,
4,4,0.011577368,1,,,
8,4,0.011603117,0,,,
2,2,0.011668205,1,,,
6,8,0.011629581,0,,,
6,4,0.0116117,0,,,
2,6,0.011632442,0,,,
8,8,0.011627674,1,,,
4,4,0.011595011,1,,,
0,4,0.011590958,0,,,
8,8,0.011590004,1,,,
4,4,0.011569738,1,,,
4,2,0.011593819,0,,,
6,6,0.011569262,1,,,
4,2,0.011618137,0,,,
2,4,0.011626959,0,,,
4,4,0.011565685,1,,,
6,6,0.011533976,1,,,
4,4,0.01154995,1,,,
4,4,0.011606455,1,,,
0,8,0.011636496,0,,,
2,3,0.011600256,0,,,
6,8,0.011611462,0,,,
0,4,0.011644602,0,,,
8,6,0.011687756,0,,,
4,6,0.011622667,0,,,
0,2,0.011652946,0,,,
8,8,0.011593819,1,,,
2,4,0.011612415,0,,,
5,4,0.011597872,0,,,
2,2,0.011624336,1,,,
6,4,0.011672497,0,,,
6,6,0.011711836,1,,,
6,2,0.011664391,0,,,
2,4,0.011668444,0,,,
6,4,0.01171875,0,,,
4,8,0.011626244,0,,,
8,8,0.011621475,1,,,
8,4,0.011696339,0,,,
4,6,0.011691809,0,,,
0,8,0.011765957,0,,,
2,4,0.011768103,0,,,
6,6,0.01179409,1,,,
6,6,0.011761904,1,,,
7,7,0.011739969,1,,,
5,4,0.011808157,0,,,
4,4,0.011828661,1,,,
2,4,0.011811495,0,,,
2,4,0.011796951,0,,,
4,4,0.011787891,1,,,
6,7,0.011809349,0,,,
4,8,0.011778116,0,,,
2,8,0.011778593,0,,,
6,6,0.011755466,1,,,
6,4,0.011851788,0,,,
6,7,0.011779785,0,,,
5,7,0.011769056,0,,,
6,6,0.011810303,1,,,
8,8,0.011847496,1,,,
7,6,0.011791945,0,,,
4,4,0.011822701,1,,,
5,8,0.011787653,0,,,
6,6,0.011798143,1,,,
8,4,0.011808872,0,,,
4,4,0.011863947,1,,,
5,8,0.011775017,0,,,
4,4,0.011752129,1,,,
2,2,0.011806726,1,,,
4,4,0.011764765,1,,,
4,4,0.011754274,1,,,
4,4,0.011746645,1,,,
4,0,0.011723042,0,,,
6,2,0.011712074,0,,,
4,4,0.011771441,1,,,
6,0,0.011699438,0,,,
2,2,0.011712313,1,,,
6,6,0.011701345,1,,,
7,7,0.011693954,1,,,
6,4,0.011710882,0,,,
3,8,0.011698484,0,,,
4,6,0.01168108,0,,,
7,6,0.011704206,0,,,
6,8,0.011732817,0,,,
0,4,0.011735916,0,,,
6,6,0.011828899,1,,,
0,4,0.011699438,0,,,
5,4,0.011725903,0,,,
2,4,0.011671543,0,,,
8,4,0.011703253,0,,,
7,7,0.011695862,1,,,
4,4,0.011741638,1,,,
6,6,0.011747599,1,,,
2,0,0.011719465,0,,,
8,8,0.011723042,1,,,
2,4,0.011725187,0,,,
0,2,0.011731863,0,,,
0,0,0.011709929,1,,,
6,0,0.011733532,0,,,
6,6,0.011730909,1,,,
4,6,0.011792183,0,,,
2,4,0.011770248,0,,,
4,4,0.011802197,1,,,
8,8,0.011770964,1,,,
6,6,0.01172924,1,,,
6,4,0.011716366,0,,,
8,0,0.01170373,0,,,
6,4,0.011732101,0,,,
6,8,0.01170063,0,,,
0,4,0.011707067,0,,,
8,8,0.011741877,1,,,
8,8,0.011758804,1,,,
8,4,0.011791468,0,,,
4,4,0.011859894,1,,,
4,4,0.011762142,1,,,
6,8,0.01173377,0,,,
6,4,0.011826515,0,,,
8,8,0.011848211,1,,,
6,4,0.011803865,0,,,
8,4,0.011867762,0,,,
4,0,0.01184988,0,,,
