True Emotion,Predicted Emotion,Time Taken (s),,,,
4,4,0.012452126,1,,0.487834065,0.011824542
5,5,0.011802197,1,,,
2,4,0.0117805,0,,,
6,6,0.011780977,1,,,
5,7,0.011752605,0,,,
4,4,0.011698008,1,,,
8,4,0.011742592,0,,,
2,2,0.011713266,1,,,
2,2,0.011677027,1,,,
2,0,0.011719942,0,,,
2,2,0.011648655,1,,,
7,7,0.011646509,1,,,
6,7,0.011630058,0,,,
4,6,0.011664152,0,,,
8,4,0.011605978,0,,,
6,6,0.011633873,1,,,
5,0,0.011601448,0,,,
8,8,0.011652946,1,,,
6,5,0.011671305,0,,,
6,8,0.011686802,0,,,
4,2,0.011684895,0,,,
8,8,0.011734009,1,,,
4,6,0.011679173,0,,,
5,2,0.01169467,0,,,
8,8,0.011677265,1,,,
5,6,0.011709213,0,,,
4,4,0.011658669,1,,,
8,8,0.011717319,1,,,
8,8,0.011665821,1,,,
6,6,0.011651039,1,,,
4,4,0.011692524,1,,,
8,4,0.011656761,0,,,
2,2,0.011695385,1,,,
6,6,0.011670351,1,,,
6,4,0.01168251,0,,,
2,5,0.011693954,0,,,
8,8,0.011652946,1,,,
4,0,0.011671066,0,,,
0,4,0.011645079,0,,,
8,8,0.011645079,1,,,
4,4,0.011654854,1,,,
4,4,0.011673927,1,,,
6,2,0.011641979,0,,,
4,2,0.011635065,0,,,
2,2,0.011658192,1,,,
4,4,0.011696339,1,,,
6,7,0.011647463,0,,,
4,4,0.011701584,1,,,
4,4,0.011669636,1,,,
0,2,0.01163435,0,,,
2,2,0.011622906,1,,,
6,6,0.011660099,1,,,
0,4,0.011651278,0,,,
8,4,0.011653662,0,,,
4,2,0.011655569,0,,,
0,4,0.011666059,0,,,
8,4,0.01170969,0,,,
2,2,0.011676311,1,,,
5,4,0.011667252,0,,,
2,4,0.011655092,0,,,
6,4,0.011676788,0,,,
6,6,0.011673212,1,,,
6,6,0.011657476,1,,,
2,2,0.011665583,1,,,
6,4,0.011769772,0,,,
4,6,0.011703253,0,,,
8,6,0.011725187,0,,,
8,8,0.011712074,1,,,
4,4,0.011703014,1,,,
0,4,0.01176095,0,,,
2,0,0.011862278,0,,,
6,7,0.011818171,0,,,
6,6,0.011830091,1,,,
7,7,0.011807919,1,,,
5,6,0.01193428,0,,,
4,4,0.011934757,1,,,
2,4,0.011921406,0,,,
2,2,0.01192379,1,,,
4,4,0.011922121,1,,,
6,6,0.01187706,1,,,
4,4,0.011849642,1,,,
2,4,0.011838436,0,,,
6,6,0.01189971,1,,,
6,2,0.011858463,0,,,
6,6,0.011829615,1,,,
5,5,0.011799812,1,,,
6,4,0.011807442,0,,,
8,8,0.011837244,1,,,
7,7,0.011837006,1,,,
4,0,0.011875153,0,,,
5,2,0.011802673,0,,,
6,6,0.01179266,1,,,
8,4,0.01177597,0,,,
4,4,0.011795521,1,,,
5,0,0.011843204,0,,,
4,4,0.011846066,1,,,
2,2,0.011928558,1,,,
4,4,0.011781693,1,,,
4,4,0.011828661,1,,,
4,2,0.011809349,0,,,
4,4,0.011833668,1,,,
6,2,0.011809111,0,,,
4,4,0.011850834,1,,,
6,6,0.011779308,1,,,
2,2,0.0118258,1,,,
6,6,0.011778831,1,,,
7,6,0.011790037,0,,,
6,2,0.011824369,0,,,
3,8,0.011827946,0,,,
4,0,0.011739731,0,,,
7,7,0.011760235,1,,,
6,6,0.011780739,1,,,
0,4,0.011747599,0,,,
6,6,0.011740685,1,,,
0,8,0.011761427,0,,,
5,5,0.011794806,1,,,
2,5,0.011800289,0,,,
8,4,0.011786938,0,,,
7,7,0.011792898,1,,,
4,4,0.011822224,1,,,
6,6,0.01180315,1,,,
2,2,0.011799812,1,,,
8,8,0.011786699,1,,,
2,4,0.01178813,0,,,
0,0,0.011795282,1,,,
0,4,0.0117836,0,,,
6,4,0.01179409,0,,,
6,6,0.011746168,1,,,
4,6,0.011848927,0,,,
2,2,0.01179409,1,,,
4,4,0.011739254,1,,,
8,4,0.011764526,0,,,
6,6,0.01177454,1,,,
6,6,0.011757374,1,,,
8,8,0.011747837,1,,,
6,8,0.011770248,0,,,
6,6,0.012013674,1,,,
0,4,0.011813164,0,,,
8,8,0.011852264,1,,,
8,8,0.011860132,1,,,
8,6,0.011881113,0,,,
4,4,0.011872292,1,,,
4,4,0.011911392,1,,,
6,6,0.012054205,1,,,
6,8,0.011853695,0,,,
8,2,0.011781931,0,,,
6,0,0.011804104,0,,,
8,6,0.011923313,0,,,
4,4,0.011884212,1,,,
8,8,0.011841297,1,,,
4,6,0.011859655,0,,,
6,6,0.0119133,1,,,
8,6,0.011859417,0,,,
8,4,0.01188159,0,,,
2,2,0.011878729,1,,,
2,4,0.011826038,0,,,
7,7,0.011837721,1,,,
2,0,0.011818409,0,,,
6,6,0.011807442,1,,,
0,0,0.011816263,1,,,
0,0,0.011814594,1,,,
7,7,0.011807203,1,,,
6,2,0.01186347,0,,,
6,6,0.011835337,1,,,
8,8,0.011842966,1,,,
8,8,0.011820078,1,,,
6,6,0.011769533,1,,,
5,0,0.011770725,0,,,
8,2,0.011766672,0,,,
4,4,0.01175189,1,,,
5,7,0.011782169,0,,,
4,4,0.011710644,1,,,
2,2,0.011771679,1,,,
7,7,0.011757135,1,,,
5,6,0.011809349,0,,,
8,0,0.011808157,0,,,
7,7,0.011870146,1,,,
4,4,0.011870384,1,,,
4,4,0.011828661,1,,,
0,0,0.011771441,1,,,
2,2,0.011774302,1,,,
4,4,0.011775732,1,,,
4,4,0.011800528,1,,,
6,0,0.011802197,0,,,
7,7,0.011763811,1,,,
8,6,0.011774302,0,,,
4,4,0.011811495,1,,,
6,4,0.011808872,0,,,
6,5,0.011813879,0,,,
8,8,0.011776686,1,,,
4,2,0.011769772,0,,,
6,6,0.011793375,1,,,
7,7,0.011872292,1,,,
8,8,0.011819124,1,,,
0,0,0.011803627,1,,,
6,6,0.011803865,1,,,
0,5,0.011836529,0,,,
0,6,0.011831522,0,,,
2,5,0.0118258,0,,,
0,0,0.011802435,1,,,
4,4,0.011795044,1,,,
2,2,0.011803389,1,,,
5,6,0.011768341,0,,,
4,4,0.01178503,1,,,
2,4,0.011800289,0,,,
7,7,0.011792898,1,,,
6,6,0.011793137,1,,,
6,6,0.01179409,1,,,
7,7,0.013455629,1,,,
5,6,0.011895418,0,,,
4,4,0.011855364,1,,,
6,6,0.011795759,1,,,
6,6,0.011772156,1,,,
0,4,0.011801243,0,,,
8,4,0.01183629,0,,,
4,4,0.011845827,1,,,
6,8,0.011828899,0,,,
0,8,0.01181674,0,,,
4,4,0.011796474,1,,,
5,2,0.011842489,0,,,
8,8,0.01183486,1,,,
8,8,0.011913061,1,,,
2,2,0.011892319,1,,,
7,7,0.011914015,1,,,
6,7,0.01186657,0,,,
5,5,0.01181221,1,,,
6,6,0.011893988,1,,,
6,2,0.011852026,0,,,
8,6,0.011808395,0,,,
8,0,0.011795759,0,,,
0,0,0.011786461,1,,,
4,4,0.011766911,1,,,
7,5,0.011746168,0,,,
6,6,0.011776209,1,,,
6,6,0.011775255,1,,,
8,6,0.011785269,0,,,
4,4,0.011759043,1,,,
6,6,0.011789799,1,,,
2,0,0.011787415,0,,,
4,2,0.011801243,0,,,
6,2,0.011766911,0,,,
8,8,0.011759996,1,,,
6,4,0.011820793,0,,,
2,2,0.011815548,1,,,
8,8,0.011799812,1,,,
0,4,0.011803865,0,,,
0,4,0.011805296,0,,,
7,5,0.011817217,0,,,
0,6,0.011795521,0,,,
5,8,0.011822224,0,,,
8,4,0.011847734,0,,,
6,6,0.011821747,1,,,
8,8,0.011777401,1,,,
6,6,0.011765957,1,,,
8,8,0.01181674,1,,,
4,4,0.011793852,1,,,
2,6,0.011926174,0,,,
4,4,0.011841059,1,,,
0,4,0.011853933,0,,,
6,6,0.011862278,1,,,
9,9,0.011849642,1,,,
6,8,0.012005568,0,,,
4,4,0.011859894,1,,,
6,8,0.011905193,0,,,
5,2,0.011866331,0,,,
4,6,0.011879921,0,,,
8,8,0.011857748,1,,,
2,4,0.011855125,0,,,
6,0,0.011803389,0,,,
6,8,0.011791468,0,,,
6,4,0.01180768,0,,,
8,2,0.011779785,0,,,
9,6,0.011805773,0,,,
6,6,0.011794806,1,,,
5,4,0.011809349,0,,,
7,7,0.011799335,1,,,
2,5,0.011804819,0,,,
6,4,0.011830091,0,,,
8,4,0.011806011,0,,,
5,6,0.011815786,0,,,
3,6,0.011806011,0,,,
5,4,0.011818171,0,,,
7,7,0.011855125,1,,,
6,6,0.011820078,1,,,
4,6,0.011802197,0,,,
8,8,0.011834145,1,,,
5,5,0.011790514,1,,,
2,2,0.011813402,1,,,
5,7,0.011822701,0,,,
8,8,0.011800766,1,,,
6,4,0.011804104,0,,,
6,6,0.01177454,1,,,
6,8,0.011795521,0,,,
2,6,0.011935949,0,,,
4,2,0.011961937,0,,,
2,2,0.011930227,1,,,
2,4,0.011949301,0,,,
4,4,0.011923552,1,,,
4,4,0.011923075,1,,,
4,4,0.01196599,1,,,
6,6,0.011861801,1,,,
8,7,0.011930227,0,,,
4,6,0.011862278,0,,,
6,8,0.011838675,0,,,
4,6,0.011809826,0,,,
0,6,0.011822939,0,,,
0,5,0.011790514,0,,,
6,4,0.01177454,0,,,
6,6,0.011769056,1,,,
2,2,0.011786222,1,,,
4,4,0.011765957,1,,,
7,7,0.01178503,1,,,
7,5,0.011758566,0,,,
6,4,0.011796713,0,,,
0,8,0.011765242,0,,,
6,6,0.011779785,1,,,
0,6,0.01179409,0,,,
8,4,0.011836052,0,,,
2,2,0.011771679,1,,,
6,4,0.011825085,0,,,
6,6,0.011933565,1,,,
6,4,0.011868715,0,,,
2,4,0.011892557,0,,,
6,4,0.011849165,0,,,
8,4,0.011774063,0,,,
6,2,0.011816978,0,,,
4,4,0.011795044,1,,,
4,4,0.011798143,1,,,
4,4,0.011760235,1,,,
6,6,0.011782408,1,,,
5,5,0.011808395,1,,,
4,6,0.011821985,0,,,
5,6,0.011817217,0,,,
0,0,0.011838436,1,,,
8,8,0.011871338,1,,,
2,6,0.011860132,0,,,
4,4,0.011846066,1,,,
2,4,0.011880875,0,,,
8,8,0.011868715,1,,,
7,6,0.011890411,0,,,
0,0,0.011846304,1,,,
8,8,0.011862755,1,,,
8,8,0.011828423,1,,,
4,4,0.011864901,1,,,
6,7,0.011873722,0,,,
4,6,0.011812925,0,,,
8,8,0.011847258,1,,,
4,5,0.011804104,0,,,
0,2,0.011781693,0,,,
4,4,0.011797667,1,,,
7,6,0.011820316,0,,,
4,6,0.011819363,0,,,
8,8,0.01181674,1,,,
4,2,0.011789322,0,,,
4,4,0.011817217,1,,,
0,4,0.011833668,0,,,
3,6,0.011772394,0,,,
6,6,0.011767626,1,,,
6,5,0.011768818,0,,,
7,7,0.011757851,1,,,
6,4,0.011778355,0,,,
2,4,0.011748791,0,,,
4,4,0.011805296,1,,,
7,6,0.01179719,0,,,
4,2,0.011814833,0,,,
6,4,0.011785269,0,,,
5,6,0.011755943,0,,,
6,6,0.011911869,1,,,
0,6,0.011805534,0,,,
2,8,0.011829615,0,,,
7,8,0.011883736,0,,,
0,4,0.011871338,0,,,
9,9,0.011837959,1,,,
6,7,0.011881828,0,,,
8,8,0.011857986,1,,,
1,4,0.011826754,0,,,
0,6,0.011838198,0,,,
9,6,0.011817932,0,,,
5,7,0.011803389,0,,,
8,4,0.011776686,0,,,
4,6,0.011752605,0,,,
7,7,0.011753559,1,,,
2,2,0.011820316,1,,,
6,8,0.011773825,0,,,
8,8,0.011813402,1,,,
0,9,0.011748552,0,,,
2,2,0.011793852,1,,,
5,4,0.011783838,0,,,
6,8,0.011772633,0,,,
6,6,0.011780024,1,,,
7,0,0.011759043,0,,,
7,7,0.011796474,1,,,
6,6,0.01178956,1,,,
6,6,0.011799812,1,,,
8,8,0.011768818,1,,,
6,6,0.01180768,1,,,
7,7,0.011775017,1,,,
6,6,0.011795998,1,,,
2,0,0.011782169,0,,,
9,7,0.011786699,0,,,
0,8,0.011809587,0,,,
0,4,0.011882782,0,,,
4,4,0.011800528,1,,,
8,7,0.011842728,0,,,
5,5,0.011785269,1,,,
6,6,0.011771202,1,,,
4,4,0.011757612,1,,,
2,2,0.011833429,1,,,
6,4,0.011846304,0,,,
6,6,0.01182127,1,,,
4,5,0.011855602,0,,,
6,5,0.01183176,0,,,
2,2,0.011839151,1,,,
0,6,0.011822224,0,,,
5,4,0.011767864,0,,,
6,6,0.01185441,1,,,
2,2,0.011797667,1,,,
2,2,0.011831522,1,,,
0,4,0.011838913,0,,,
7,7,0.011790991,1,,,
4,8,0.011790752,0,,,
8,0,0.011819124,0,,,
