True Emotion,Predicted Emotion,Time Taken (s),,,,
4,4,0.012208223,1,,0.422417232,0.011687516
5,8,0.011738539,0,,,
2,6,0.01157403,0,,,
6,4,0.011550188,0,,,
5,6,0.011549711,0,,,
4,4,0.011750221,1,,,
8,0,0.011586189,0,,,
2,6,0.011619091,0,,,
2,2,0.01162529,1,,,
2,2,0.011668921,1,,,
2,4,0.01164031,0,,,
7,7,0.011566877,1,,,
6,6,0.01152277,1,,,
4,8,0.011675119,0,,,
8,8,0.011592865,1,,,
6,8,0.011628151,0,,,
5,2,0.011583805,0,,,
8,8,0.011600494,1,,,
6,5,0.011558056,0,,,
6,6,0.011552334,1,,,
4,2,0.01163888,0,,,
8,8,0.011575222,1,,,
4,2,0.011550188,0,,,
5,2,0.011679173,0,,,
8,8,0.011560678,1,,,
5,6,0.011636496,0,,,
4,4,0.011638165,1,,,
8,8,0.011677504,1,,,
8,8,0.011599779,1,,,
6,2,0.011613369,0,,,
4,6,0.011615038,0,,,
8,8,0.011595488,1,,,
2,4,0.011604071,0,,,
6,6,0.011564016,1,,,
6,6,0.011620522,1,,,
2,6,0.011577845,0,,,
8,8,0.011594772,1,,,
4,4,0.011591673,1,,,
0,8,0.011529207,0,,,
8,8,0.011539936,1,,,
4,4,0.011460066,1,,,
4,0,0.01149106,0,,,
6,2,0.011497736,0,,,
4,2,0.011524916,0,,,
2,4,0.011512756,0,,,
4,4,0.011500597,1,,,
6,6,0.011529207,1,,,
4,4,0.011497736,1,,,
4,4,0.011519194,1,,,
0,0,0.01150322,1,,,
2,2,0.011552572,1,,,
6,6,0.011500597,1,,,
0,4,0.011493921,0,,,
8,8,0.011541605,1,,,
4,8,0.011511087,0,,,
0,4,0.011576414,0,,,
8,4,0.011558294,0,,,
2,2,0.011537313,1,,,
5,2,0.011557817,0,,,
2,2,0.011584759,1,,,
6,2,0.011516333,0,,,
6,7,0.011549473,0,,,
6,2,0.011565208,0,,,
2,4,0.011517286,0,,,
6,6,0.011581421,1,,,
4,4,0.011507034,1,,,
8,4,0.011570692,0,,,
8,8,0.011641026,1,,,
4,6,0.011575699,0,,,
0,8,0.011748552,0,,,
2,8,0.011673212,0,,,
6,7,0.011746168,0,,,
6,4,0.011671066,0,,,
7,7,0.011691809,1,,,
5,4,0.011805058,0,,,
4,0,0.011742592,0,,,
2,4,0.011764288,0,,,
2,2,0.01180768,1,,,
4,4,0.011702061,1,,,
6,6,0.011724949,1,,,
4,4,0.011731863,1,,,
2,8,0.011737108,0,,,
6,8,0.01169157,0,,,
6,8,0.011723042,0,,,
6,6,0.0116992,1,,,
5,6,0.011677265,0,,,
6,4,0.01168251,0,,,
8,8,0.011727333,1,,,
7,7,0.011652708,1,,,
4,4,0.011745214,1,,,
5,2,0.011695385,0,,,
6,6,0.011759281,1,,,
8,4,0.011717081,0,,,
4,4,0.011747837,1,,,
5,5,0.011651754,1,,,
4,4,0.01170063,1,,,
2,4,0.01167798,0,,,
4,4,0.011675596,1,,,
4,4,0.011615515,1,,,
4,4,0.011661053,1,,,
4,4,0.011669874,1,,,
6,4,0.011691332,0,,,
4,4,0.011668921,1,,,
6,5,0.011655092,0,,,
2,2,0.011653662,1,,,
6,6,0.011666059,1,,,
7,7,0.011713743,1,,,
6,2,0.011699677,0,,,
3,8,0.011600018,0,,,
4,6,0.01163578,0,,,
7,6,0.011662006,0,,,
6,6,0.011715651,1,,,
0,6,0.01173234,0,,,
6,6,0.011658192,1,,,
0,4,0.011624813,0,,,
5,5,0.011618137,1,,,
2,8,0.011659622,0,,,
8,4,0.011680603,0,,,
7,5,0.011626482,0,,,
4,8,0.011602402,0,,,
6,4,0.011623859,0,,,
2,2,0.011600971,1,,,
8,6,0.01164484,0,,,
2,8,0.011632919,0,,,
0,8,0.011642456,0,,,
0,4,0.011615038,0,,,
6,4,0.011639118,0,,,
6,6,0.011620522,1,,,
4,6,0.011669397,0,,,
2,4,0.011727571,0,,,
4,4,0.011673927,1,,,
8,4,0.011745691,0,,,
6,7,0.011756659,0,,,
6,4,0.011736155,0,,,
8,0,0.01169467,0,,,
6,8,0.011672497,0,,,
6,6,0.011648655,1,,,
0,4,0.011691093,0,,,
8,8,0.011660337,1,,,
8,8,0.011616945,1,,,
8,6,0.011637211,0,,,
4,4,0.011656284,1,,,
4,2,0.011666536,0,,,
