True Emotion,Predicted Emotion,Time Taken (s),,,,
4,4,0.012589931,1,,0.509373753,0.011802685
5,5,0.011811495,1,,,
2,6,0.011772156,0,,,
6,8,0.011726379,0,,,
5,7,0.011756182,0,,,
4,0,0.011745214,0,,,
8,4,0.011739731,0,,,
2,6,0.011772156,0,,,
2,2,0.011826992,1,,,
2,2,0.011831284,1,,,
2,2,0.011764288,1,,,
7,5,0.011794806,0,,,
6,5,0.011777163,0,,,
4,4,0.011752367,1,,,
8,4,0.011767149,0,,,
6,4,0.011700869,0,,,
5,2,0.011702776,0,,,
8,8,0.011674404,1,,,
6,6,0.011692286,1,,,
6,6,0.011685848,1,,,
4,0,0.011668444,0,,,
8,5,0.011775017,0,,,
4,4,0.011681557,1,,,
5,2,0.01166296,0,,,
8,8,0.011705399,1,,,
5,7,0.011702299,0,,,
4,4,0.011697531,1,,,
8,8,0.01168108,1,,,
8,8,0.011735201,1,,,
6,2,0.011720419,0,,,
4,4,0.011722326,1,,,
8,8,0.011735678,1,,,
2,2,0.011784554,1,,,
6,6,0.011662722,1,,,
6,4,0.011631489,0,,,
2,2,0.011643648,1,,,
8,8,0.011601686,1,,,
4,4,0.011657476,1,,,
0,0,0.011661053,1,,,
8,8,0.011692286,1,,,
4,4,0.011604786,1,,,
4,0,0.01174593,0,,,
6,4,0.011734962,0,,,
4,2,0.011672974,0,,,
2,4,0.011671066,0,,,
4,4,0.011618376,1,,,
6,6,0.011695623,1,,,
4,6,0.011625767,0,,,
4,4,0.011676788,1,,,
0,0,0.011655569,1,,,
2,6,0.011666059,0,,,
6,6,0.011653185,1,,,
0,2,0.011661291,0,,,
8,8,0.011689425,1,,,
4,4,0.011666536,1,,,
0,0,0.01167798,1,,,
8,4,0.011666298,0,,,
2,0,0.011621952,0,,,
5,0,0.011669397,0,,,
2,2,0.011675119,1,,,
6,8,0.011725664,0,,,
6,6,0.011703014,1,,,
6,6,0.011675358,1,,,
2,4,0.011661053,0,,,
6,4,0.011782646,0,,,
4,4,0.011667728,1,,,
8,8,0.011693239,1,,,
8,8,0.011728525,1,,,
4,4,0.011721611,1,,,
0,4,0.011748075,0,,,
2,2,0.011796236,1,,,
6,6,0.011746883,1,,,
6,4,0.011787891,0,,,
7,7,0.011784315,1,,,
5,8,0.011866808,0,,,
4,4,0.011903524,1,,,
2,0,0.011864901,0,,,
2,2,0.011886835,1,,,
4,8,0.011864424,0,,,
6,6,0.011854887,1,,,
4,2,0.011861801,0,,,
2,4,0.011835814,0,,,
6,4,0.011898756,0,,,
6,6,0.011858225,1,,,
6,6,0.011777163,1,,,
5,5,0.011789083,1,,,
6,6,0.011795282,1,,,
8,8,0.011832952,1,,,
7,7,0.011793852,1,,,
4,6,0.011805773,0,,,
5,6,0.011822224,0,,,
6,6,0.011874676,1,,,
8,4,0.011778593,0,,,
4,4,0.011865377,1,,,
5,5,0.011849642,1,,,
4,4,0.011818886,1,,,
2,2,0.011796236,1,,,
4,0,0.011790514,0,,,
4,4,0.011794806,1,,,
4,2,0.011696815,0,,,
4,0,0.011768341,0,,,
6,6,0.011709929,1,,,
4,0,0.011766672,0,,,
6,5,0.011741877,0,,,
2,2,0.011772633,1,,,
6,6,0.011743546,1,,,
7,7,0.011724234,1,,,
6,0,0.011708975,0,,,
3,8,0.011729479,0,,,
4,0,0.011702299,0,,,
7,7,0.011721611,1,,,
6,6,0.011761427,1,,,
0,6,0.011780024,0,,,
6,6,0.01180172,1,,,
0,0,0.011763811,1,,,
5,2,0.011809349,0,,,
2,2,0.011750698,1,,,
8,4,0.01175046,0,,,
7,6,0.011776209,0,,,
4,4,0.011785269,1,,,
6,6,0.011770964,1,,,
2,2,0.011776209,1,,,
8,8,0.011820793,1,,,
2,4,0.011781693,0,,,
0,0,0.011775255,1,,,
0,4,0.011754751,0,,,
