True Emotion,Predicted Emotion,Time Taken (s),,,,
4,4,0.012502909,1,,0.378938971,0.011811448
5,5,0.011645555,1,,,
2,6,0.011643171,0,,,
6,9,0.011662245,0,,,
5,6,0.011677027,0,,,
4,8,0.011862278,0,,,
8,2,0.011639357,0,,,
2,4,0.011762381,0,,,
2,4,0.011698008,0,,,
2,4,0.011624336,0,,,
2,2,0.011610031,1,,,
7,7,0.011595249,1,,,
6,7,0.011620283,0,,,
4,4,0.011616707,1,,,
8,4,0.011626244,0,,,
6,4,0.011667013,0,,,
5,2,0.011637688,0,,,
8,6,0.011664867,0,,,
6,5,0.011688948,0,,,
6,4,0.0116992,0,,,
4,6,0.011642456,0,,,
8,3,0.011674643,0,,,
4,4,0.011680603,1,,,
5,6,0.011727333,0,,,
8,8,0.011667013,1,,,
5,7,0.011666059,0,,,
4,4,0.01162529,1,,,
8,2,0.011649132,0,,,
8,6,0.011601925,0,,,
6,4,0.011627674,0,,,
4,4,0.011614323,1,,,
8,8,0.011615992,1,,,
2,2,0.011739492,1,,,
6,6,0.011731863,1,,,
6,6,0.011627674,1,,,
2,6,0.011654377,0,,,
8,8,0.011670828,1,,,
4,0,0.011664152,0,,,
0,4,0.011609077,0,,,
8,5,0.011624098,0,,,
4,8,0.011674404,0,,,
4,2,0.01164031,0,,,
6,4,0.011648893,0,,,
4,4,0.011654854,1,,,
2,0,0.011621237,0,,,
4,2,0.011676073,0,,,
6,6,0.011629581,1,,,
4,4,0.011685848,1,,,
4,4,0.01164031,1,,,
0,2,0.01166749,0,,,
2,3,0.011570454,0,,,
6,9,0.012133121,0,,,
0,4,0.011784554,0,,,
8,8,0.01164341,1,,,
4,6,0.011651278,0,,,
0,0,0.011644602,1,,,
8,0,0.011673689,0,,,
2,2,0.011747122,1,,,
5,0,0.011694908,0,,,
2,2,0.011706591,1,,,
6,4,0.011676311,0,,,
6,6,0.011661291,1,,,
6,2,0.011626005,0,,,
2,2,0.011696339,1,,,
6,6,0.011708975,1,,,
4,2,0.011710882,0,,,
8,8,0.011662006,1,,,
