True Emotion,Predicted Emotion,Time Taken (s),,,,
4,6,0.068359137,0,,0.258077383,0.01194565
5,6,0.012583733,0,,,
2,4,0.011918306,0,,,
6,4,0.011941433,0,,,
5,6,0.014524698,0,,,
4,4,0.01187706,1,,,
8,4,0.011869431,0,,,
2,4,0.012067556,0,,,
2,4,0.011869192,0,,,
2,4,0.011858463,0,,,
2,4,0.011842251,0,,,
7,6,0.011933565,0,,,
6,6,0.01187253,1,,,
4,4,0.011920452,1,,,
8,6,0.012022257,0,,,
6,6,0.012091398,1,,,
5,4,0.011854172,0,,,
8,4,0.01184392,0,,,
6,6,0.011785984,1,,,
6,4,0.011803627,0,,,
4,4,0.011842489,1,,,
8,4,0.012029409,0,,,
4,6,0.011871576,0,,,
5,4,0.011847734,0,,,
8,6,0.011881351,0,,,
5,6,0.014080286,0,,,
4,4,0.012116671,1,,,
8,6,0.011915684,0,,,
8,6,0.011880398,0,,,
6,4,0.011887074,0,,,
4,4,0.011869669,1,,,
8,4,0.011878729,0,,,
2,4,0.011939287,0,,,
6,6,0.011935472,1,,,
6,4,0.012160063,0,,,
2,4,0.011895418,0,,,
8,6,0.011828899,0,,,
4,4,0.011751413,1,,,
0,6,0.011714458,0,,,
8,6,0.011729002,0,,,
4,4,0.011747122,1,,,
4,4,0.011768341,1,,,
6,6,0.011761904,1,,,
4,4,0.011811972,1,,,
2,4,0.011922836,0,,,
4,4,0.011811733,1,,,
6,4,0.011853218,0,,,
4,2,0.012001038,0,,,
4,4,0.011824608,1,,,
0,4,0.011816263,0,,,
2,4,0.011847019,0,,,
6,6,0.01180625,1,,,
0,6,0.011818886,0,,,
8,6,0.011791945,0,,,
4,4,0.011907816,1,,,
0,4,0.01177907,0,,,
8,4,0.011835575,0,,,
2,4,0.011847258,0,,,
5,6,0.01180625,0,,,
2,6,0.01184988,0,,,
6,4,0.011801958,0,,,
6,6,0.011821508,1,,,
6,4,0.011811972,0,,,
2,4,0.011804104,0,,,
6,2,0.011868238,0,,,
4,6,0.011826277,0,,,
8,4,0.011933327,0,,,
8,6,0.013853788,0,,,
4,4,0.012252331,1,,,
0,4,0.011915684,0,,,
2,6,0.011870384,0,,,
6,6,0.01188302,1,,,
6,6,0.011873245,1,,,
7,6,0.011856556,0,,,
5,4,0.011945248,0,,,
4,4,0.011940479,1,,,
2,4,0.01631856,0,,,
2,4,0.012150526,0,,,
4,4,0.012014866,1,,,
6,6,0.011937141,1,,,
4,4,0.01193738,1,,,
2,4,0.011972427,0,,,
6,4,0.01203227,0,,,
6,6,0.011882782,1,,,
6,6,0.01197505,1,,,
5,6,0.011885166,0,,,
6,4,0.011938572,0,,,
8,6,0.011929035,0,,,
7,6,0.011884451,0,,,
4,4,0.011944056,1,,,
5,4,0.011901855,0,,,
6,4,0.011871576,0,,,
8,4,0.01190114,0,,,
4,4,0.011918306,1,,,
5,4,0.011916637,0,,,
4,4,0.014416456,1,,,
2,6,0.012078285,0,,,
4,4,0.011879921,1,,,
4,4,0.011922598,1,,,
4,6,0.011945009,0,,,
4,4,0.01193428,1,,,
6,4,0.011968851,0,,,
4,6,0.011927128,0,,,
6,6,0.011911392,1,,,
2,4,0.011959314,0,,,
6,6,0.011914492,1,,,
7,6,0.011909723,0,,,
6,4,0.011956692,0,,,
3,6,0.011992931,0,,,
4,2,0.011934757,0,,,
7,6,0.011953592,0,,,
6,6,0.011916161,1,,,
0,6,0.01469636,0,,,
6,6,0.011996269,1,,,
0,4,0.01194191,0,,,
5,4,0.011878252,0,,,
2,4,0.011856794,0,,,
8,4,0.011898041,0,,,
7,6,0.011901617,0,,,
4,6,0.011931181,0,,,
6,4,0.011935472,0,,,
2,4,0.011894941,0,,,
8,6,0.011933327,0,,,
2,6,0.011869431,0,,,
0,4,0.011890411,0,,,
0,4,0.011896133,0,,,
6,4,0.011903763,0,,,
6,4,0.011907101,0,,,
4,4,0.011936665,1,,,
2,6,0.014754772,0,,,
4,6,0.011963606,0,,,
8,4,0.011894226,0,,,
6,6,0.011925697,1,,,
6,4,0.011909246,0,,,
8,4,0.011862993,0,,,
6,6,0.01187396,1,,,
6,4,0.011830091,0,,,
0,4,0.011867762,0,,,
8,4,0.011909485,0,,,
8,4,0.01190424,0,,,
8,4,0.011880398,0,,,
4,6,0.011870861,0,,,
4,4,0.011917114,1,,,
6,6,0.011927843,1,,,
6,2,0.011838198,0,,,
8,4,0.011899471,0,,,
6,4,0.013549566,0,,,
8,6,0.012926579,0,,,
4,6,0.011911154,0,,,
8,6,0.011926413,0,,,
4,4,0.011891365,1,,,
6,4,0.011921644,0,,,
8,6,0.011935711,0,,,
8,6,0.011979818,0,,,
2,6,0.011939049,0,,,
2,4,0.011935711,0,,,
7,6,0.011933804,0,,,
2,6,0.01192832,0,,,
6,6,0.011956453,1,,,
0,4,0.011922359,0,,,
0,6,0.01191926,0,,,
7,6,0.011915207,0,,,
6,4,0.011933804,0,,,
6,4,0.011933565,0,,,
8,6,0.011925459,0,,,
8,2,0.01193285,0,,,
6,4,0.011907339,0,,,
5,6,0.011926174,0,,,
8,4,0.011859894,0,,,
4,6,0.011910439,0,,,
5,6,0.011918545,0,,,
4,4,0.011921883,1,,,
2,4,0.011910439,0,,,
7,6,0.011898518,0,,,
