Classifier,Cross_Validation_Accuracy
Extra Trees,0.959427275
Extra Trees,0.958498257
Random Forest,0.948172088
KNN,0.947530221
Random Forest,0.946601204
Extra Trees,0.94628027
Bagging,0.944410975
Bagging,0.943831043
Extra Trees,0.943577674
KNN,0.943335567
Bagging,0.942800678
KNN,0.942733113
Bagging,0.942091246
Extra Trees,0.940362711
Bagging,0.939456215
Bagging,0.93800357
Random Forest,0.937924744
Bagging,0.937220943
Extra Trees,0.937142117
Bagging,0.936427055
Extra Trees,0.936382012
Random Forest,0.936066709
Extra Trees,0.935025083
Random Forest,0.934045392
Extra Trees,0.933037549
Random Forest,0.932716616
Extra Trees,0.931196406
Random Forest,0.928938612
Random Forest,0.928876677
KNN,0.92795329
Random Forest,0.927255119
Bagging,0.924006374
Random Forest,0.923792418
Bagging,0.923505267
Bagging,0.921574037
Bagging,0.921388234
Extra Trees,0.917131645
Extra Trees,0.917120384
Random Forest,0.915014611
Random Forest,0.914665526
Extra Trees,0.913257923
Random Forest,0.91004296
Bagging,0.907807688
Extra Trees,0.905341569
Bagging,0.905121983
KNN,0.905110722
Bagging,0.904694072
Random Forest,0.903781946
Random Forest,0.901974584
Random Forest,0.901749368
Extra Trees,0.898692056
Extra Trees,0.898500622
Decision Tree,0.89682276
KNN,0.896732674
Bagging,0.89653561
KNN,0.893703514
KNN,0.885511269
Decision Tree,0.884756794
KNN,0.881091398
Decision Tree,0.877893326
Bagging,0.872234766
Decision Tree,0.871570377
Extra Trees,0.860669906
Bagging,0.859543824
KNN,0.858851284
Decision Tree,0.857674529
Extra Trees,0.854650999
Decision Tree,0.854223088
Decision Tree,0.854099219
Decision Tree,0.850749126
Decision Tree,0.849651196
KNN,0.848716548
Bagging,0.847663662
Extra Trees,0.84723012
Bagging,0.846616406
Decision Tree,0.844904762
Random Forest,0.843744897
Extra Trees,0.843525312
Decision Tree,0.843187487
KNN,0.842021992
KNN,0.839893698
Decision Tree,0.839026615
Random Forest,0.832973926
Random Forest,0.829702658
KNN,0.82477042
Decision Tree,0.820789721
Decision Tree,0.818250407
Decision Tree,0.817417106
Random Forest,0.817090543
Decision Tree,0.815744875
Bagging,0.799951578
Extra Trees,0.797873958
Random Forest,0.785335037
Extra Trees,0.78440602
Bagging,0.772463923
KNN,0.768410029
Random Forest,0.768083465
KNN,0.76774001
KNN,0.762250362
KNN,0.76194632
KNN,0.751254174
Bagging,0.747459278
Extra Trees,0.745308462
Decision Tree,0.743022516
KNN,0.741952738
Random Forest,0.741907695
Decision Tree,0.739075599
Decision Tree,0.73867584
KNN,0.73550592
Bagging,0.730168293
Extra Trees,0.727071568
Random Forest,0.725551358
Decision Tree,0.723850974
KNN,0.721069552
LightGBM,0.712562005
LightGBM,0.711182555
LightGBM,0.711148772
LightGBM,0.710140929
KNN,0.707753636
LightGBM,0.697917312
LightGBM,0.697911681
LightGBM,0.696706774
LightGBM,0.696425254
KNN,0.691808318
LightGBM,0.687799467
LightGBM,0.685834455
LightGBM,0.685575456
LightGBM,0.685001154
XGBoost,0.682523774
XGBoost,0.682349232
XGBoost,0.679415789
XGBoost,0.677991295
LightGBM,0.676645628
LightGBM,0.675654676
LightGBM,0.672445343
LightGBM,0.669720225
XGBoost,0.665165224
XGBoost,0.66497379
XGBoost,0.664506467
XGBoost,0.663751992
XGBoost,0.662383802
MLP,0.661449155
XGBoost,0.661409742
XGBoost,0.661229569
XGBoost,0.661122591
MLP,0.654535013
XGBoost,0.651990068
XGBoost,0.651421397
MLP,0.650492379
XGBoost,0.649186124
Decision Tree,0.647756001
XGBoost,0.646832614
MLP,0.646534202
MLP,0.64114027
LightGBM,0.639192149
MLP,0.638550282
LightGBM,0.638432044
MLP,0.63521145
MLP,0.632829787
LightGBM,0.630352407
LightGBM,0.629198173
Decision Tree,0.629108087
MLP,0.618466614
