True Emotion,Predicted Emotion,Time Taken (s),Average Time(s),Count,Gender,Model Name,WAV File,Accuracy,,,,,,
exc,hap,32.1988194,0.160994097,200,F,MiniCPM-V-2_6,Ses01F_impro07_F000,0,,,,,,
exc,hap,41.41725612,0.207086281,200,F,sharegpt4video-8b,Ses01F_impro07_F000,0,,,,,,
exc,hap,3.571741104,0.017858706,200,F,VideoLLaMA2-7B,Ses01F_impro07_F000,0,,,,,,
xxx,hap,20.24109793,0.128924191,157,F,MiniCPM-V-2_6,Ses01F_impro07_F001,0,,,,,,
xxx,hap,30.52788782,0.194445145,157,F,sharegpt4video-8b,Ses01F_impro07_F001,0,,,,,Accuracy,Time
xxx,neu,2.476303101,0.015772631,157,F,VideoLLaMA2-7B,Ses01F_impro07_F001,0,,,,MiniCPM-V-2_6,0.134636265,0.125229813
exc,hap,46.81335163,0.129318651,362,F,MiniCPM-V-2_6,Ses01F_impro07_F002,0,,,,sharegpt4video-8b,0.079261672,0.208120258
exc,hap,72.10192966,0.199176601,362,F,sharegpt4video-8b,Ses01F_impro07_F002,0,,,,VideoLLaMA2-7B,0.169381107,0.016765704
exc,hap,5.51261425,0.015228216,362,F,VideoLLaMA2-7B,Ses01F_impro07_F002,0,,,,,,
exc,hap,8.977747679,0.12469094,72,F,MiniCPM-V-2_6,Ses01F_impro07_F003,0,,,,,,
exc,hap,14.95505333,0.207709074,72,F,sharegpt4video-8b,Ses01F_impro07_F003,0,,,,,,
exc,hap,1.416721344,0.019676685,72,F,VideoLLaMA2-7B,Ses01F_impro07_F003,0,,,,,,
exc,hap,20.42042565,0.126834942,161,F,MiniCPM-V-2_6,Ses01F_impro07_F004,0,,,,,,
exc,hap,34.19058156,0.212363861,161,F,sharegpt4video-8b,Ses01F_impro07_F004,0,,,,,,
exc,hap,2.472043991,0.015354311,161,F,VideoLLaMA2-7B,Ses01F_impro07_F004,0,,,,,,
exc,hap,10.2001946,0.114608928,89,F,MiniCPM-V-2_6,Ses01F_impro07_F005,0,,,,,,
exc,hap,18.24904513,0.205045451,89,F,sharegpt4video-8b,Ses01F_impro07_F005,0,,,,,,
exc,hap,1.626389742,0.018274042,89,F,VideoLLaMA2-7B,Ses01F_impro07_F005,0,,,,,,
xxx,hap,34.90196609,0.127379438,274,F,MiniCPM-V-2_6,Ses01F_impro07_F006,0,,,,,,
xxx,hap,56.16084576,0.20496659,274,F,sharegpt4video-8b,Ses01F_impro07_F006,0,,,,,,
xxx,hap,4.246212244,0.015497125,274,F,VideoLLaMA2-7B,Ses01F_impro07_F006,0,,,,,,
xxx,hap,35.29645276,0.120465709,293,F,MiniCPM-V-2_6,Ses01F_impro07_F007,0,,,,,,
xxx,hap,59.77393246,0.204006595,293,F,sharegpt4video-8b,Ses01F_impro07_F007,0,,,,,,
xxx,hap,4.348012686,0.014839634,293,F,VideoLLaMA2-7B,Ses01F_impro07_F007,0,,,,,,
xxx,hap,28.6484561,0.130814868,219,F,MiniCPM-V-2_6,Ses01F_impro07_F008,0,,,,,,
xxx,hap,43.98693085,0.200853566,219,F,sharegpt4video-8b,Ses01F_impro07_F008,0,,,,,,
xxx,hap,3.37476635,0.015409892,219,F,VideoLLaMA2-7B,Ses01F_impro07_F008,0,,,,,,
exc,neu,8.999809504,0.130432022,69,F,MiniCPM-V-2_6,Ses01F_impro07_F009,0,,,,,,
exc,hap,15.96626353,0.231395124,69,F,sharegpt4video-8b,Ses01F_impro07_F009,0,,,,,,
exc,neu,1.35234046,0.019599137,69,F,VideoLLaMA2-7B,Ses01F_impro07_F009,0,,,,,,
exc,hap,14.76181912,0.128363645,115,F,MiniCPM-V-2_6,Ses01F_impro07_F010,0,,,,,,
exc,hap,22.74598145,0.197791143,115,F,sharegpt4video-8b,Ses01F_impro07_F010,0,,,,,,
exc,hap,1.756192684,0.015271241,115,F,VideoLLaMA2-7B,Ses01F_impro07_F010,0,,,,,,
xxx,hap,20.2778585,0.128340877,158,F,MiniCPM-V-2_6,Ses01F_impro07_F011,0,,,,,,
xxx,hap,32.70348692,0.206984094,158,F,sharegpt4video-8b,Ses01F_impro07_F011,0,,,,,,
xxx,hap,2.672537327,0.016914793,158,F,VideoLLaMA2-7B,Ses01F_impro07_F011,0,,,,,,
