Promt idx,Prompt,Actual Emotion,Predicted Emotion 1,Predicted Emotion 2,Predicted Emotion 3,Average Time 1,Average Time 2,Average Time 3,Accuracy Model 1,Accuracy Model 2,Accuracy Model 3,Gender,WAV File
1,What is the emotion in this video?,neu,The emotion in this video is conveyed through the expressions and body language of the subjects.,"?
The emotion in this video appears to be one of joy and happiness. The woman in the video is smiling and laughing, and she seems to be having a good time. The man in the video is also smiling and laughing, and he seems to be enjoying himself as well. Overall, the video conveys a sense of happiness and enjoyment.",The video does not provide any information about the emotions of the people in the video.,0.130297859,0.17983966,0.016985542,0,0,0,F,Ses01F_impro01_F000
2,Please specify the predominant emotion shown in this video segment.,neu,The predominant emotion shown in this video segment is one of concentration and engagement.,,"The predominant emotion shown in this video segment is one of relaxation and enjoyment, as the man and woman are seen sitting comfortably and reading a book.",0.122730291,0.166641979,0.023227554,0,0,0,F,Ses01F_impro01_F000
3,How does the character feel in this video?,neu,"The character appears to be engaged in a thoughtful or contemplative state, possibly reflecting on the content of the paper.","?
The character in the video appears to be very happy and content. She is smiling and laughing throughout the video, and she seems to be enjoying herself. Overall, the character seems to be very happy and content in this video.",The video does not provide any information about the character's emotions or feelings.,0.12006278,0.152167336,0.017789505,0,0,0,F,Ses01F_impro01_F000
4,What is the main emotion displayed in this clip?,neu,The main emotion displayed in this clip is frustration or confusion.,"?
?
The main emotion displayed in this clip is happiness and joy. The woman in the clip is seen laughing and enjoying herself, which conveys a sense of happiness and joy. Additionally, the presence of a dog in the clip adds to the sense of happiness and joy, as dogs are often associated with positive emotions and companionship. Overall, the clip conveys a sense of happiness and joy through the woman's laughter and the presence of the dog.","The main emotion displayed in this clip is one of sadness or disappointment. The woman in the video appears to be crying, and the man is holding a piece of paper, which could suggest that he is reading something upsetting or disappointing.",0.119424594,0.180442766,0.03098184,0,0,0,F,Ses01F_impro01_F000
5,Can you describe the emotion expressed in this video?,neu,"The video displays a range of emotions from the individuals, with expressions ranging from contemplative to engaged.","?
Yes, the video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video is seen smiling and laughing, while another woman is seen crying. The man in the video is also seen smiling and laughing. Overall, the video captures a range of emotions that viewers can relate to.",The video does not provide enough information to determine the emotions expressed by the people in the video.,0.081698296,0.167868545,0.01931283,0,0,0,F,Ses01F_impro01_F000
6,What feelings are being portrayed in this video segment?,neu,The video segment portrays feelings of contemplation and concern.,"?
The video segment portrays a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video appears to be sad and disappointed. The woman's smile and laughter convey a sense of joy and happiness, while the man's frown and frustration convey a sense of sadness and disappointment. The surprise on the woman's face when she sees the man's reaction adds an element of surprise to the video. Overall, the video",The video does not provide any information about the emotions or feelings of the people in the scene.,0.106075594,0.182322514,0.017435672,0,0,0,F,Ses01F_impro01_F000
7,How is the person in the video emotionally reacting?,neu,The person in the video is showing signs of distress or concern.,"?
The person in the video appears to be happy and enjoying the experience of riding a horse. They are smiling and seem to be having a good time. The horse is also calm and well-behaved, which adds to the positive experience. Overall, the person in the video seems to be having a great time and enjoying the experience of horseback riding.",The video does not provide any information about the emotional state of the person in the video.,0.121725175,0.169954639,0.017657943,0,0,0,F,Ses01F_impro01_F000
8,What is the emotional tone of this video?,neu,The emotional tone of the video is one of contemplation and engagement.,"?
The emotional tone of this video is one of joy and celebration. The video captures a group of people coming together to celebrate a special occasion, and it conveys a sense of happiness and togetherness. The colors in the video are bright and vibrant, adding to the festive atmosphere. Overall, the video conveys a positive and uplifting message.",The video does not provide enough information to determine the emotional tone.,0.090371758,0.160855156,0.015984042,0,0,0,F,Ses01F_impro01_F000
9,What emotion is primarily displayed in this scene?,neu,The primary emotion displayed in this scene is contemplation.,"?
The primary emotion displayed in this scene is happiness. The man and woman are laughing and enjoying each other's company, which suggests that they are having a good time and enjoying each other's company. The woman's smile and laughter indicate that she is happy and enjoying herself, while the man's smile and laughter suggest that he is also happy and enjoying himself. Overall, the scene conveys a sense of joy and happiness between the two individuals.","In this scene, the primary emotion displayed is one of concern or worry. The woman is sitting in a chair, holding a piece of paper, and looking at the man who is also sitting in a chair and looking at her. The man's expression and body language suggest that he is concerned or worried about something, possibly related to the paper the woman is holding. The woman's expression is also serious, indicating that she is focused on the situation at hand. The overall atmosphere of the scene is tense, with both individuals appearing to be deeply engaged in the conversation or situation they are discussing.",0.090807438,0.179092298,0.059930369,0,0,0,F,Ses01F_impro01_F000
10,How does the person in the video seem to be feeling?,neu,The person in the video appears to be feeling somewhat distressed or troubled.,"Based on their facial expressions and body language, they appear to be happy and content. They are smiling and laughing, and their posture is relaxed and comfortable. Overall, the person in the video seems to be enjoying themselves and having a good time.","It is difficult to determine the person's emotions based solely on their appearance in the video. However, the person appears to be calm and composed, with no visible signs of distress or discomfort.",0.11677152,0.172640219,0.026946621,0,0,0,F,Ses01F_impro01_F000
11,What is the emotional state of the character in this video?,neu,"The character in the video exhibits a range of emotions, including contemplation and mild distress.","?
The character in the video appears to be in a state of shock or disbelief. This can be inferred from their facial expressions and body language, which suggest a strong emotional response to the events unfolding in the video.","It is difficult to determine the emotional state of the character in this video as there is no clear indication of their emotions. However, the character appears to be focused on the task at hand, which is reading the paper.",0.123438516,0.166982922,0.028143943,0,0,0,F,Ses01F_impro01_F000
12,Can you identify the emotion shown in this video?,neu,The video shows a person who seems to be in a state of distress or concern.,"?
The man in the video appears to be in a state of shock or disbelief. His facial expression and body language suggest that he is experiencing a strong emotional response to something he has seen or heard. It is possible that he is reacting to an unexpected event or piece of information that he was not prepared for. Overall, the video captures a moment of intense emotional experience for the man.",The video does not provide enough information to determine the emotions of the people in the video.,0.123314845,0.185516543,0.019102824,0,0,0,F,Ses01F_impro01_F000
13,What emotion is being conveyed by the person in this clip?,neu,The person in the clip is conveying a sense of emotion through their body language and facial expressions.,"?
The person in the clip seems to be expressing a strong emotion, possibly anger or frustration, as they are yelling into the camera. It is difficult to determine the exact emotion being conveyed without more context, but it is clear that the person is expressing a strong emotion.",The person in the video appears to be displaying a sense of happiness or contentment.,0.08913439,0.176300615,0.018950289,0,0,0,F,Ses01F_impro01_F000
14,How would you describe the mood of this video?,neu,"The mood of the video is serious and focused, as both individuals are engaged in their tasks.","It seems to be a lighthearted and humorous take on the challenges of being a woman in a male-dominated world. The women in the video appear to be enjoying themselves and having a good time, which adds to the overall positive and uplifting tone of the video. Overall, the video seems to be a fun and entertaining way to explore the experiences of women in a male-dominated world.",The video does not provide enough information to determine the mood of the scene.,0.09635073,0.175238593,0.017400358,0,0,0,F,Ses01F_impro01_F000
15,What is the dominant emotion in this video?,neu,The dominant emotion in this video is concentration.,"?
The dominant emotion in this video is a sense of calm and tranquility. The video captures the beauty of nature and the peacefulness that can be found in it. The man in the video seems to be enjoying the moment and appreciating the natural beauty around him. Overall, the video conveys a sense of peace and tranquility.","It is difficult to determine the dominant emotion in this video as the people in the video do not show strong emotional expressions. However, some people are seen smiling, and others are seen sitting or standing.",0.089010425,0.172981428,0.02682306,0,0,0,F,Ses01F_impro01_F000
16,What emotions are noticeable in this video?,neu,The emotions of the individuals are noticeable in their body language and facial expressions.,"?
The video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video seems to be sad and disappointed. The little girl in the video also appears to be happy and content. Overall, the video captures a range of emotions, including happiness, sadness, and surprise.",The video does not provide any information about the emotions of the people in the video.,0.10163529,0.188047502,0.017963292,0,0,0,F,Ses01F_impro01_F000
17,What is the emotional expression of the person in the video?,neu,"The person in the video exhibits a range of emotions, including surprise and contemplation.","?
The person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem",The video does not provide enough information to determine the emotional expression of the person in the video.,0.099955244,0.185384217,0.018610534,0,0,0,F,Ses01F_impro01_F000
18,Which emotion is the person in this video exhibiting?,neu,The person in the video is exhibiting an emotion of attentiveness or anticipation.,"?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. It is difficult to pinpoint a specific emotion without more context, but the person's facial expressions and body language suggest that they are experiencing a mix of emotions.",The person in the video is exhibiting a neutral emotion.,0.10805288,0.17022695,0.016143859,0,0,100,F,Ses01F_impro01_F000
